,tweet,language
256,bjp national president shri interacts ex servicemen imphal manipur,en
257,rt schedule bjp national president shri public programs th november manipur watch,en
258,,hi
259,legislature raises voice people independent judiciary branches work ambit cohesion fine details enunciated constitution beauty constitution shri,en
260,,hi
261,govts may come govts may go democracy fundamental rights must flourish got power constitution india drafted babasaheb dr ambedkar shri,en
262,contribution dr rajendra prasad sardar patel stalwarts forgotten babasaheb emphasized equality ensure everybody get equal opportunity democracy flourish amp development take place shri,en
263,pm modi became pm country declared th november observed constitution day shri,en
264,constitution came existence detailed discussions deliberations constituent assembly remember bharat ratna dr bhimrao ambedkar contribution independent india constitution shri,en
265,bjp national president shri addresses program constitution day imphal manipur,en
266,humble tributes martyrs terror attack mumbai salute brave security personnel bravely faced attack,en
267,,hi
268,graceful indeed,en
269,,hi
270,grand reception national president shri ji manipur gauge mood manipur rousing reception mood,en
271,rt sh national president received warm welcome hon ble union minister sh ji state,en
272,rt futuristic people friendly noida airport,en
273,welcomed national president shri ji imphal airport manipur,en
274,warm welcome union minister amp election incharge manipur bjp shri ji imphal today,en
275,rt hon ble union minister sh ji reached imphal state prabhari dr along hon ble cm sh,en
276,departing delhi shri ji took tour manipur pride kangla fort visit manipur tourism make point visit kangla fort gives insight manipur rich culture,en
277,along gs org shri ji amp election prabhari sh ji cm sh ji amp party president smt ji sh ji attended mandal president meeting imphal manipur peace development mantra,en
278,,hi
279,gen sec org shri ji presided election management committee meeting bjp headquarters imphal today presence cm sh ji party president smt ji senior leaders state,en
280,birthday greetings cm tripura shri ji may blessed maa tripursundari long healthy life ahead,en
281,rt attended page incharge meeting booth konthoujam mandal manipur along state prabhari state,en
282,,hi
283,rt bjp national general secretary org sh ji attended page incharge meeting konthoujam mandal along,en
284,participated meeting social media amp media team presided gs org shri ji,en
285,participated panna pramukh meeting booth manipur received margadarshan sangathan mahamantri shri ji amp president sh ji well local mla dr ranjan sapam,hi
286,along sangathan mahamantri shri ji amp president smt ji participated booth commitee meeting seikmei mandal manipur shri santosh ji emphasised peace amp development bjp government manipur,en
287,bjp national president shri ji inaugurates newly constructed district offices bjp tamil nadu thiruppur,en
288,rt welcome imphal shri ji airport joined smt ji president bjp manipur shri,en
289,welcomed sangathan mahamantri shri ji imphal airport today,en
290,rt coimbatore airport tamilnadu,pl
291,congress never think beyond gandhis family subash bose sardar patel amp baba saheb ambedkar bjp never appropriated sardar patel since congress rejected sardar gave due place iron man india,en
292,leaked voices top karnataka congress leaders press briefing exposes typical dynastic mindset party tall leaders like sardar patel pulled store rooms lest bjp take political benefit situation,en
293,onwards amp upwards india gdp growth gains momentum leading rating agencies revise gdp estimates fy,en
294,,hi
295,rt shri antas khan mla lilong ac sh kh raghumank singh retd ias joined bjp state prabhari dr ji h,en
296,rt welcomed shri yumkhaibam antas khan mla lilong constituency shri kh raghumani singh retired ias,en
297,participated party joining program sh antas ji mla lilong assembly constituency amp shri raghumani ji rtd ias uripok constituency manipur along cm sh ji amp party president smt ji welcomed bjp pariwar,en
298,rt dr ji expressed heartfelt gratitu,en
299,rt bjp nat l spokesperson amp state prabhari dr ji along hon ble minister goa election co incharge b,en
300,rt india never witnessed pm like sh ji takes care northeast like dr nat,en
301,,hi
302,participated office bearers meeting take stock preparations visit gs org sh ji th nov amp national president sh ji th november,en
303,fortunate meet welcome doner minister amp mos co operation goi shri ji bjp headquaters manipur,en
304,,hi
305,,hi
306,addressed huge public rally khurai assembly constitiency imphal east district manipur organised local mla sh sishindro yaima ji along election co incharge sh ji amp serior party leaders,en
307,visited site public rally president shri ji held th november thoubal district manipur took stock ongoing preparations along office bearers mlas,en
308,folded hands,hi
309,along cm manipur sh ji president sh ji amp gs sh ji participated friendly football soccer ball match today imphal,en
310,pm decision farm laws proven listens public opinion,en
311,rt dr ji national spokesperson amp state prabhari reached imphal state gss secretaries along w,en
312,reached imphal welcomed senior office bearers,en
313,hon ble home minister shei laid foundation stone rani gaidinliu tribal freedom fighters museum manipur via video conferencing,en
314,union home minister sh ji virtually laid foundation stone setting rani gaidinliu tribal freedom fighters museum,en
315,gives great honour able rename mount harriet mount manipur honour freedom fighters manipur hon ble hm shri ji,en
316,rt laying foundation stone rani gaidinliu tribal freedom fighters museum manipur via vc watch live,en
317,union home minister minister cooperation shri ji lay foundation stone rani gaidinliu tribal freedom fighters museum manipur via video conferencing date nd november time noon,en
318,congratulations shri ji appointed gs congratulations ms ji sh rituraj sinha ji ms bharati gosh ji dear friend organisational appointment bjp may always stay blessed folded hands,en
319,engine,hi
320,rt pollutants need high wind speed move amp every state responsible pollution delhi aqi anyway higher comp,en
321,rt analysed data last years observe stable atmosphere temp dip amp calm wind speed monsoon withdrawal p,en
322,,hi
323,rt,hi
324,isis,hi
325,rt,hi
326,rt,hi
327,rt,hi
328,rt media briefing dr party headquarters new delhi,en
329,pm,en
330,pm,en
331,make india make world,hi
332,,hi
333,,hi
334,,hi
335,,hi
336,,hi
337,pm shri attends rashtra raksha samarpan parv jhansi uttar pradesh,hi
338,pm,en
339,pm,en
340,,hi
341,,hi
342,,hi
343,,hi
344,pm shri dedicates development projects mahoba uttar pradesh,en
345,,hi
346,,hi
347,,hi
348,repeal,hi
349,,hi
350,today want tell everyone decided repeal three farm laws pm shri,en
351,,hi
352,,hi
353,rural market infrastructure,hi
354,msp,hi
355,,hi
356,,hi
357,,hi
358,,hi
359,rt addressing nation,en
360,pm shri address nation today watch live,en
361,wishing union minister shri ji birthday young dynamic leader indeed inspiration millions may always stay blessed,en
362,,hi
363,,hi
364,,or
365,pm,en
366,live pm shri inaugurates st global innovation summit pharmaceutical sector,en
367,push phase milestone,hi
368,formation national asset reconstruction company govt guaranteed rs crore stressed assets worth rs lakh crore set resolved near future pm shri,en
369,govt recovered rs lakh crore bad debts created previous govt changed functioning banking system pm shri,en
370,ibc reforms debt recovery tribunal dedicated stressed asset management vertical,und
371,npas recapitalize,hi
372,reforms financial health,hi
373,growth journey country point takes pledge new jump entire nation dedicates achieve new pre defined targets pm shri,en
374,pm shri addresses conference creating synergies seamless credit flow economic growth,en
375,india home start ups manufacture drones defence purposes th november jhansi pm shri also hand drones developed indian start ups army,en
376,india becoming aatmanirbhar defence bullet proof jackets guns light combat helicopters handed indian air force pm shri jhansi th november,en
377,,hi
378,india world rd largest fastest growing start eco system new unicorns coming every weeks providing solutions health education national security pm shri,en
379,built world efficient payment infra upi million indians use internet million smartphones one largest consumers data per capita one cheapest data world pm shri,en
380,building world extensive public information infrastructure billion indians unique digital identity way connect lakh villages broadband pm shri,en
381,democracy digital leader india ready work partners shared prosperity security india digital revolution rooted democracy demography scale economy powered enterprise innovation youth pm modi,en
382,reshaping international competition power leadership ushered new era opportunities progress prosperity pm shri,en
383,time change happens era digital age changing everything around us redefined politics economy society raising new questions sovereignty governance ethics laws rights security pm shri,en
384,see recognition india central role indo pacific emerging digital world also tribute comprehensive strategic partnership two countries pm shri,en
