,tweet,language,mentions
106,great to see indian startups in top yc companies congrats and hope more in,en,"[{'screen_name': 'meeshoapp', 'name': 'meesho app', 'id': '1451504323389636612'}, {'screen_name': 'razorpay', 'name': 'razorpay', 'id': '2609379660'}, {'screen_name': '_okcredit', 'name': 'okcredit', 'id': '1130406156776615942'}, {'screen_name': 'khatabook', 'name': 'khatabook', 'id': '1120294166116704257'}, {'screen_name': 'cleartax_in', 'name': 'cleartax', 'id': '1409580379279794187'}, {'screen_name': '_groww', 'name': 'groww', 'id': '3571361412'}, {'screen_name': 'gocashfree', 'name': 'cashfree payments', 'id': '4081930334'}]"
107,consistency for consistency s sake is stupid being a user for both the screens i find this a very good design the two use cases are different and in some ways it is a bold decision to not being consistent across screens if it does not make sense,en,[]
108,for the most part it is probably a futile attempt to run away from facebook but this move from whatsapp to signal telegram is more about signaling on privacy than any material impact long term it is better to not have one company control too much and this might help,en,[]
109,mark buying signal isn t gon na happen,en,[]
110,think of somebody s electricity phone connection internet switched off because somebody did not like the content they are posting,en,[]
111,this is a very different kind of action to facebook and twitter banning trump they are top level apps and perhaps are right to boot off people basis content appstore and hosting services are a different deal altogether,en,[]
112,apple google and amazon banning an app based on their own notions of wrong content feels a bit too much they provide utility services and that is not the level this need to be dealt with,en,[]
113,how to answer a why question by richard feynman,en,[]
114,openai just launched an ai that generates images from text prompt just like gpt generated text from prompt incredible they named it dall e in honor of artist salvador dali and pixar s wall e,en,[]
115,software just doesn t age well as our system grows there will always be plenty of things to be offended by in fact there will seem to be more but that doesn t necessarily mean they re all worse than their predecessors,en,[]
116,a great read on what technological changes might this decade bring hiv vaccine anti aging products cheaper energy ev av supersonic aircrafts space travel ar and more exciting decade ahead,en,[]
117,but real heroes keep doing their job credit or not silently in the background for its own sake,en,[]
118,it is a sad truth that sometimes you get less credit if you do your job well and prevent the problem from happening otoh people who let crisis happen and then come for rescue are heroes we do have a monkey brain,en,[]
119,premature optimization is pretty common hard to argue with not making code even better but it is also something that you come to recognize with experience realizing this can increase mileage especially in early stage startups,en,[]
120,as software engineers we tend to believe if we write good code if will last forever but over time you realize that anything remotely useful a year down the line gets rewritten newer requirements newer people newer frameworks it is a never ending cycle,en,[]
121,good git hacks,en,[]
122,rt a few things i m pretty sure about most jobs would benefit from at least a day month where you did nothing but think,en,"[{'screen_name': 'morganhousel', 'name': 'morgan housel', 'id': '284278132'}]"
123,interesting take on old age but i think this is ahead of its time we will probably have such conversations in,en,[]
124,is it too early to decorate christmas tree kiddo had such a wonderful time,en,[]
125,what is brutal tony was a legend and i grew mustseeindia hearing tales from zappos customer service and inspiring our own team so sad to hear this rip tony,en,[]
126,of course what is regular and what is not is complicated as everything else in life,en,[]
127,you obviously want to hire smart people and let them make decisions but sometimes there is a lot on stake or the things being done have never been done before and micromanagement may be justified it is not ok for regular tasks,en,[]
128,micromanagement has got a bad rep but it is the preferred approach in some cases like inducting new people or people moving to new roles micromanage till they get full context or an incredibly difficult important task to make sure it is done right,en,[]
129,we do virtual coffee sessions on fridays where we chit chat about non work related things it is a hit with the team and stress releaser,en,[]
130,good thread so many of these resonated with me personally,en,[]
131,happy diwali to everyone,tl,[]
132,rt deutsche bank strategists should be taxed for stupidity,en,"[{'screen_name': 'apompliano', 'name': 'pomp 🌪', 'id': '339061487'}]"
133,you ll be even more surprised when a majority of people go back to the same old ways post vaccine people take time to change,en,[]
134,lot of work ahead for india,en,[]
135,my yo daughter has almost never watched linear tv before ipl final yesterday and she was most fascinated by ads she had not seen ads before this she found the ads of kingfisher kya plan hai and cred bollywood hilarious storytelling in secs is an art,en,[]
136,rt from last year but i still find it nuts how much one new yorker spent on their ten year old s piano lessons ten grand fif,en,"[{'screen_name': 'jayelwes', 'name': 'jayelwes', 'id': '415678730'}]"
137,congrats and,en,"[{'screen_name': 'kamalaharris', 'name': 'kamala harris', 'id': '30354991'}, {'screen_name': 'joebiden', 'name': 'joe biden', 'id': '939091'}]"
138,us elections are the highest trp global reality show and it s running for extended duration this time,en,[]
139,wow what a great history lesson,en,[]
140,rt it s easier to fool people than to convince them that they have been fooled attributed to mark twain,en,"[{'screen_name': 'jposhaughnessy', 'name': 'jim oshaughnessy', 'id': '28369153'}]"
141,rt roland garros match wins roland garros titles grand slam titles,en,"[{'screen_name': 'rolandgarros', 'name': 'roland-garros', 'id': '42220353'}, {'screen_name': 'rafaelnadal', 'name': 'rafa nadal', 'id': '344634424'}]"
142,rt investing successful investing is all about behavior and psychology you can have the best model or analysis in the wo,en,"[{'screen_name': 'chamath', 'name': 'chamath palihapitiya', 'id': '3291691'}]"
143,rt do not spoil what you have by desiring what you have not remember that what you now have was once among the things you only,en,"[{'screen_name': 'tferriss', 'name': 'tim ferriss', 'id': '11740902'}]"
144,are you suggesting criticism from media made indian vcs more conservative,en,[]
145,when amazon does not have a hindi song in its library it defaults to but it doesn t stream properly even on a good broadband connection such a,en,"[{'screen_name': 'alexa99', 'name': 'alexa', 'id': '2905440476'}, {'screen_name': 'jiosaavn', 'name': 'jiosaavn', 'id': '14263778'}]"
146,fully agree additionally i think parents contribution is more towards providing the right environment for learning for kids rather than teach kids and it is likely the current generation is over parenting,en,[]
147,unfortunate reality while most people are arguing manufacturing as a reason amp i agree it as one of the reasons i don t see why one can t create brand outside of lowest price usp there are so many angles to play on,en,[]
148,that s not good i liked my daughter s school s approach nd grade they upload a min video for each subject everyday and kids can watch in their own time sometimes they give printable worksheets to do more like guided home schooling than online classes,en,[]
149,keyword matching or what we call in laymen terms ai,en,[]
150,rt this is so sad it made me cry,en,"[{'screen_name': 'darealtishaaa', 'name': '.tish', 'id': '558979040'}]"
151,rt dear white people for days you ve asked me what you can do to help i ve finally found an answer let your guard down and,en,[]
152,this is a big leap from s in s indians were y k programmers in the noughts they were powering the top startups in last decade they have risen up to the leadership position wonder what holds for the next decade,en,[]
153,finally found a button in faqs that actually got the transaction done interesting flow,en,[]
154,dumb question how do i pay someone using not able to find any option home tab is completely empty,en,"[{'screen_name': 'phonepe_', 'name': 'phonepe', 'id': '4910896514'}]"
155,rt very good,en,"[{'screen_name': 'benthompson', 'name': 'ben thompson', 'id': '40273'}]"
156,interesting article agree with his insights it is confusing when india takes extraordinary steps to saves its citizens when millions die of pollution filth poor healthcare system china set the trend by locking down world s likely response would have been milder,en,[]
157,success when room is only,en,[]
158,rt reliance industries limited and facebook this is a long thread that may interest fb and ril ns investors,en,"[{'screen_name': 'iramneek', 'name': 'ramneek', 'id': '90696122'}]"
159,rt,und,"[{'screen_name': 'pmarca', 'name': 'marc andreessen', 'id': '5943622'}]"
160,makes the announcement at last moment in typical indian style when most companies would have already made the payment some things never change,en,[]
161,if built timely this could have helped so many countries given the reach of android and ios,en,[]
162,i wonder if democratic world is far too much privacy focused for our own good we could not do it faster even when thousands of lives were at stake,en,[]
163,apple and google are collaborating for contact tracing for covid one would expect they would have done this in late feb early march given that chinese companies had already done it by then it is far too late now,en,[]
164,two months wiped jobs gains from a decade that is scary wonder what would be the impact in india where we were already seeing significant unemployment before,en,[]
165,hey kids category section in your ios app is not scrolling down not able to browse any apps,en,"[{'screen_name': 'alexa99', 'name': 'alexa', 'id': '2905440476'}]"
166,agree this is very useful wonder why it is not a standard feature,en,[]
167,i don t disagree but this is so hard to do in practice especially when we are still discovering new facts about this virus being extra cautious till we understand the situation better may be the right approach for now,en,[]
168,reminder that we are still discovering facts about coronavirus and still do not fully understand how it spreads stay cautious stay safe use mask,en,[]
169,and what about italy spain uk and so many other countries they have so many deaths despite lockdown are you saying deaths would be lower if everybody opened up,en,[]
170,a cool way to visualize speed of light,en,[]
171,rt ever wonder what happens when you yank the pull cord on an aircraft emergency slide wonder no more,en,"[{'screen_name': 'aerodork', 'name': 'aerodork', 'id': '2807792942'}]"
172,consultants,ca,[]
173,twitter stand by for bangalore weather tweets just refresh you feed,en,[]
174,rt the dumbest people on twitter are commenting at me this week that my opinions on are not credible because,en,"[{'screen_name': 'scottadamssays', 'name': 'scott adams', 'id': '2853461537'}]"
175,shutting down the economy is a big conundrum for a big country like india but we should be looking for a gradual opening of the economy post lockdown to prevent long term damage to the informal sector,en,[]
176,while full shutdown was the right step to manage a highly contagious disease in a country of billion people india should look to open the economy gradually to prevent long term impact on informal economy,en,[]
177,informal economy is big in india and employs the poor to prevent a total collapse we should be looking for staggered relaxation soon,en,[]
178,in general any activity not involving gathering more than people should qualify to be opened we should follow that for weeks and then assess,en,[]
179,daily life grocery stores should operate with masks and social distancing blue collar jobs like cooks maids plumbers should resume,en,[]
180,delivery food delivery ecommerce deliveries should be allowed,en,[]
181,transportation private vehicles can be allowed auto ola uber should be allowed buses get crowded fast and difficult to maintain social distance it should remain closed in phase,en,[]
182,office people who work in corporate are among the least affected from an economic standpoint among this there s a section of people who can work from home those who can t should remain closed,en,[]
183,schools malls restaurants should stay closed in phase till we understand the impact of gradual relaxation,en,[]
184,gathering any gathering of more than people should still be avoided,en,[]
185,travel inter city travel should be banned trains flights intercity buses should be on hold activities within a city should function with restrictions,en,[]
186,those who can not get the masks due to distribution issues shortage should build one any mask is better than going out without it,en,[]
187,masks to begin with masks should be mandatory for everybody outside home govt should make free masks available to everyone distribution will be key if we can give condoms for free to control hiv aids we can do masks too,en,[]
188,as we approach the second half of lockdown we need to think about how to deal with the situation after india is a poor country and can not afford to shut down completely for long we need to open gradually that is a staggered approach,en,[]
189,india has done well by acting early and cutting off from the world and then full internal lockdown it s been chaotic but a better approach until we understand the full impact of across the world,en,[]
190,like all complex problems this presents a formidable challenge you have to choose the less bad situation and like many other complex situations this also needs a tailored approach specific to india,en,[]
191,opening fully will infect a mass majority sooner or later with india s substandard healthcare system again poor people will be the most adversely affected,en,[]
192,with india faces a peculiar situation if full lockdown is continued this will hamper the economy in a big way informal economy is hit hardest informal economy employs the poor and they are having a hard time just surviving,en,[]
193,in not so far away future i expect him to be a pm candidate,en,[]
194,haha the world is a funny place,en,[]
195,rt if you don t care to be liked they can t touch you,en,"[{'screen_name': 'naval', 'name': 'naval', 'id': '745273'}]"
196,this grave situation demands open mindedness and ability to find the right solution at each stage irrespective of who is the leader,en,[]
